iter	Passed	Remaining
0	5	5683
1	11	5557
2	17	5863
3	24	6104
4	30	6056
5	35	5946
6	41	5855
7	47	5933
8	54	5966
9	62	6168
10	70	6375
11	78	6485
12	85	6511
13	92	6531
14	99	6505
15	106	6534
16	114	6601
17	121	6635
18	130	6757
19	138	6801
20	148	6907
21	157	6997
22	164	7005
23	174	7114
24	182	7118
25	193	7251
26	200	7235
27	210	7311
28	217	7291
29	225	7304
30	232	7261
31	241	7292
32	247	7256
33	257	7304
34	264	7283
35	272	7309
36	279	7274
37	288	7294
38	295	7269
39	304	7303
40	311	7278
41	322	7356
42	331	7374
43	339	7376
44	347	7375
45	355	7364
46	362	7356
47	371	7362
48	379	7362
49	386	7350
50	395	7351
51	402	7336
52	411	7345
53	419	7344
54	429	7371
55	436	7361
56	445	7373
57	453	7368
58	463	7392
59	470	7376
60	480	7396
61	487	7373
62	502	7468
63	515	7533
64	522	7516
65	529	7499
66	537	7490
67	547	7503
68	555	7500
69	564	7499
70	574	7522
71	582	7506
72	591	7513
73	598	7493
74	611	7540
75	620	7542
76	629	7547
77	638	7546
78	646	7534
79	655	7539
80	662	7520
81	672	7531
82	679	7507
83	688	7505
84	694	7480
85	703	7477
86	710	7453
87	718	7450
88	725	7429
89	734	7426
90	740	7401
91	748	7389
92	755	7367
93	762	7351
94	770	7340
95	777	7323
96	785	7313
97	793	7298
98	801	7290
99	810	7296
100	818	7287
101	826	7275
102	833	7257
103	840	7239
104	846	7219
105	853	7200
106	862	7194
107	868	7175
108	878	7183
109	886	7171
110	895	7171
111	902	7156
112	911	7154
113	917	7134
114	926	7133
115	933	7115
116	942	7115
117	949	7096
118	957	7091
119	964	7072
120	972	7063
121	978	7041
122	985	7027
123	992	7010
124	999	6996
125	1010	7012
126	1021	7023
127	1029	7012
128	1039	7018
129	1048	7014
130	1056	7011
131	1069	7035
132	1076	7020
133	1086	7023
134	1094	7012
135	1104	7017
136	1113	7014
137	1121	7007
138	1130	7000
139	1138	6990
140	1146	6982
141	1154	6974
142	1163	6970
143	1170	6960
144	1179	6955
145	1186	6940
146	1194	6930
147	1201	6916
148	1208	6904
149	1215	6886
150	1222	6873
151	1229	6860
152	1236	6843
153	1243	6831
154	1250	6817
155	1257	6804
156	1264	6788
157	1271	6773
158	1278	6760
159	1285	6746
160	1292	6734
161	1298	6717
162	1305	6704
163	1312	6688
164	1319	6675
165	1326	6662
166	1332	6646
167	1339	6635
168	1346	6622
169	1353	6608
170	1359	6591
171	1366	6576
172	1372	6560
173	1378	6542
174	1384	6528
175	1391	6513
176	1397	6500
177	1405	6491
178	1412	6479
179	1419	6467
180	1426	6454
181	1434	6445
182	1440	6433
183	1448	6424
184	1454	6409
185	1461	6397
186	1468	6382
187	1474	6369
188	1481	6355
189	1487	6340
190	1493	6324
191	1499	6308
192	1504	6292
193	1511	6279
194	1517	6266
195	1524	6251
196	1529	6235
197	1535	6220
198	1542	6209
199	1548	6193
200	1554	6179
201	1560	6164
202	1566	6150
203	1573	6138
204	1579	6125
205	1585	6112
206	1594	6106
207	1600	6094
208	1607	6085
209	1613	6071
210	1621	6062
211	1628	6052
212	1635	6042
213	1641	6028
214	1647	6016
215	1654	6005
216	1661	5994
217	1669	5989
218	1677	5983
219	1686	5979
220	1693	5968
221	1700	5959
222	1707	5949
223	1715	5942
224	1723	5937
225	1731	5929
226	1738	5920
227	1746	5915
228	1754	5906
229	1761	5897
230	1769	5891
231	1777	5883
232	1784	5873
233	1790	5862
234	1799	5857
235	1806	5847
236	1813	5837
237	1820	5827
238	1828	5821
239	1834	5810
240	1841	5800
241	1849	5791
242	1856	5783
243	1863	5773
244	1869	5762
245	1877	5753
246	1883	5742
247	1890	5732
248	1896	5720
249	1902	5708
250	1909	5697
251	1915	5686
252	1922	5675
253	1928	5663
254	1934	5652
255	1941	5641
256	1947	5629
257	1953	5617
258	1959	5605
259	1965	5595
260	1973	5586
261	1979	5574
262	1984	5562
263	1990	5549
264	1998	5542
265	2004	5532
266	2011	5522
267	2019	5516
268	2026	5507
269	2034	5500
270	2041	5490
271	2048	5482
272	2054	5471
273	2060	5459
274	2066	5449
275	2072	5437
276	2078	5425
277	2084	5413
278	2089	5400
279	2096	5390
280	2102	5378
281	2108	5367
282	2115	5360
283	2122	5349
284	2128	5338
285	2133	5326
286	2140	5317
287	2146	5305
288	2151	5294
289	2158	5284
290	2165	5275
291	2171	5264
292	2177	5253
293	2183	5242
294	2189	5231
295	2194	5220
296	2201	5211
297	2209	5205
298	2216	5195
299	2223	5187
300	2230	5179
301	2237	5170
302	2243	5161
303	2250	5151
304	2256	5142
305	2262	5132
306	2269	5122
307	2275	5111
308	2280	5100
309	2286	5090
310	2292	5079
311	2298	5068
312	2304	5057
313	2310	5046
314	2316	5038
315	2322	5027
316	2328	5016
317	2334	5007
318	2341	4998
319	2348	4989
320	2354	4980
321	2360	4970
322	2367	4963
323	2373	4952
324	2379	4942
325	2385	4931
326	2390	4920
327	2396	4910
328	2403	4901
329	2411	4895
330	2418	4887
331	2424	4878
